canonical_hobby,merged_group
Participating in family gatherings and community festivals,"Participating in family gatherings and community festivals, Participating in local festivals and community celebrations, Family gatherings and community festivals, Family gatherings and holiday celebrations, Attending small family or community celebrations, Participating in family and community festivals"
Crochet and lace needlework,Crochet and lace needlework
Fashion blogging on Instagram,Fashion blogging on Instagram
Interactive light‑and‑sound toys,Interactive light‑and‑sound toys
Poetry Reading Groups,Poetry Reading Groups
Exploring textured soft toys,"Exploring textured soft toys, Exploring textured toys, Playing with textured sensory toys, exploring soft textured toys, playing with textured toys, Exploring textured soft objects, exploring textured toys, Playing with textured and soft toys, Exploring plush toy textures"
Learning basic coding for medical image processing,Learning basic coding for medical image processing
Visiting Hill Country Wineries,Visiting Hill Country Wineries
interactive push‑toy,interactive push‑toy
Map drawing,Map drawing
reading business and psychology books,"reading business and psychology books, Reading business, leadership, and personal development books, Reading business/self‑help books, Reading Business Books, Reading business and technology books, Reading Business and Self‑Help Books, Reading business and self‑help books, Reading business books"
Volunteer work at local fire department and church events,"Volunteer work at local fire department and church events, Volunteer Fire Department Activities"
Mentoring adult literacy programs,Mentoring adult literacy programs
Garden cultivation of herbs and ornamental plants,"Garden cultivation of herbs and ornamental plants, gardening and growing herbs"
Historical society tours,"Historical society tours, Historic tours, Participating in local history tours, local history tours, Local history tours, historical site tours, Local History Tours"
Hiking (Driftless Area),Hiking (Driftless Area)
Teaching Vietnamese language classes (occasionally),Teaching Vietnamese language classes (occasionally)
Local History Talks,"Local History Talks, Attending local history talks, Local history, Local history talks"
Walking in Flushing Meadows–Corona Park,"Walking in Flushing Meadows–Corona Park, Walking in Queens Greenway and Flushing Meadows Corona Park"
Volunteer electrical safety workshops for seniors,Volunteer electrical safety workshops for seniors
Exploring new technology gadgets,Exploring new technology gadgets
Reading Spanish-language poetry,"Reading Spanish-language poetry, Writing poetry in Spanish, Learning Spanish‑language poetry and literature, Reading Mexican literature and poetry, writing Spanish poetry"
karaoke nights with friends,"karaoke nights with friends, Community Karaoke Nights, Karaoke nights with friends, Karaoke outings"
Church Volunteer (Food Drive),"Church Volunteer (Food Drive), Volunteer food drives"
Walking on local river trail and nature observation,"Walking on local river trail and nature observation, River trail walking, Walking/Hiking on Patuxent River Trail, Hiking and river walks, walking nature trails along the Illinois River, Walking in local parks and along the Passaic River Trail, River Trail walking, Exploring local river and hiking trails with photography"
Local History Society Events,"Local History Society Events, Historical society events, Participating in local historical society events, participating in local history events, attending local historical society events"
amateur astronomy,"amateur astronomy, Amateur Astronomy, Amateur astronomy, Amateur Astronomy Club, Astronomy"
cooking Caribbean and soul‑food dishes,"cooking Caribbean and soul‑food dishes, Cooking soul‑food and Caribbean dishes, Cooking soul‑food and Caribbean-inspired dishes, Cooking Caribbean soul food, Cooking soul-food and international dishes, Cooking Southern and soul‑food dishes"
Poetry,"Poetry, Writing poetry, poetry writing, Poetry writing, Poetry Writing, writing poetry"
listening to storybooks,"listening to storybooks, Reading storybooks"
Reading YA novels,"Reading YA novels, Reading YA and classic literature, reading YA novels, Reading contemporary YA novels, reading YA fiction"
Spending time with close family,Spending time with close family
listening to classical piano and Mexican folk music,listening to classical piano and Mexican folk music
Birdwatching and species logging,"Birdwatching and species logging, Birdwatching and logging sightings, Birdwatching and species checklist, Gardening and birdwatching, Birdwatching at nature preserves, Bird‑watching with detailed logs"
Attending art fairs and community theater,"Attending art fairs and community theater, Attending art galleries and theater productions"
attending Mardi Gras celebrations,"attending Mardi Gras celebrations, Mardi Gras Participation, Mardi Gras celebrations"
singing simple Spanish lullabies,singing simple Spanish lullabies
Watching educational science shows,"Watching educational science shows, watching educational nature and science shows, Watching educational TV shows"
Organizing bookshelves,Organizing bookshelves
Strategy video games with creative building (Minecraft),Strategy video games with creative building (Minecraft)
Reading historical fiction and local Idaho history,Reading historical fiction and local Idaho history
Bollywood dance,"Bollywood dance, Bollywood Dance Classes, Bollywood Dance"
Walking with a senior men’s walking group,Walking with a senior men’s walking group
Video making,Video making
Watching culinary documentaries and competition shows,"Watching culinary documentaries and competition shows, Watching cooking shows, Watching cooking competitions"
Gourmet Cooking,"Gourmet Cooking, Cooking gourmet meals"
Event organization,"Event organization, Cultural Event Organization, Community Event Organization, event organization"
Flamenco Dancing,"Flamenco Dancing, Singing and flamenco dancing"
Cooking Indigenous cuisine,"Cooking Indigenous cuisine, Native cooking"
Cooking Goan and Punjabi cuisine,Cooking Goan and Punjabi cuisine
Traveling within California,Traveling within California
Sketching technical diagrams,Sketching technical diagrams
Volunteer book-discussion group,"Volunteer book-discussion group, Book discussion group"
Weekly dance‑cardio fitness class,"Weekly dance‑cardio fitness class, Dance Cardio Fitness"
daily park walks,"daily park walks, daily walks"
Learning green cleaning techniques online,Learning green cleaning techniques online
Walking on the beach at sunrise,"Walking on the beach at sunrise, walking on the beach at sunrise, sunrise beach walks, Walking on Beach at Sunrise"
Being read to by family members,Being read to by family members
Local history walks,"Local history walks, Local History Walking Tours, Local history walking tours, Exploring Local History, Nature walks and local history exploration"
container gardening,container gardening
Storytelling and oral history projects,"Storytelling and oral history projects, Historical society oral‑history projects, Oral storytelling events, Storytelling and oral history sessions, Storytelling and oral history sharing"
Attending local car and truck shows,Attending local car and truck shows
pretend play with tool kits,pretend play with tool kits
Attending local theater performances,"Attending local theater performances, Attending theater productions, Attending theater and jazz performances, Attending Theater Performances, Attending concerts and theater, Attending local theater productions, local theater, Watching local theater performances, Local theater"
